Exam_Score,Attendance,Hours_Studied,Sleep_Hours,Access_to_Resources,Cluster
67.0,84.0,23.0,7.0,High,1
61.0,64.0,19.0,8.0,Medium,0
74.0,98.0,24.0,7.0,Medium,1
71.0,89.0,29.0,8.0,Medium,1
70.0,92.0,19.0,6.0,Medium,1
71.0,88.0,19.0,8.0,Medium,1
67.0,84.0,29.0,7.0,Low,1
66.0,78.0,25.0,6.0,High,1
69.0,94.0,17.0,6.0,High,1
72.0,98.0,23.0,8.0,Medium,1
71.0,97.0,17.0,6.0,High,1
70.0,83.0,21.0,8.0,Medium,1
66.0,82.0,9.0,8.0,Medium,0
65.0,78.0,10.0,8.0,High,0
64.0,68.0,17.0,8.0,Medium,0
60.0,60.0,14.0,10.0,Low,0
65.0,70.0,22.0,6.0,Medium,0
67.0,80.0,15.0,9.0,Medium,0
66.0,75.0,12.0,7.0,High,0
69.0,78.0,29.0,5.0,Medium,1
72.0,99.0,19.0,6.0,High,1
66.0,74.0,20.0,8.0,High,0
66.0,78.0,11.0,8.0,Medium,0
63.0,65.0,17.0,5.0,High,0
64.0,62.0,21.0,6.0,Low,0
65.0,91.0,13.0,6.0,Medium,0
71.0,83.0,22.0,6.0,High,1
66.0,90.0,16.0,4.0,Medium,1
64.0,66.0,18.0,4.0,High,0
63.0,83.0,16.0,6.0,Medium,0
69.0,70.0,31.0,7.0,High,1
67.0,69.0,20.0,8.0,Medium,0
68.0,65.0,25.0,5.0,Medium,0
61.0,72.0,13.0,6.0,Medium,0
64.0,65.0,21.0,7.0,Low,0
67.0,99.0,7.999999999999998,9.0,Medium,1
63.0,72.0,12.0,8.0,Medium,0
64.0,65.0,21.0,6.0,Medium,0
67.0,68.0,24.0,8.0,Medium,0
65.0,84.0,21.0,6.0,Medium,0
64.0,63.0,19.0,7.0,High,0
70.0,94.0,18.0,7.0,High,1
68.0,98.0,11.0,9.0,Medium,1
65.0,70.0,16.0,8.0,Medium,0
68.0,78.0,17.0,6.0,Medium,0
64.0,61.0,26.0,6.0,Low,0
68.0,86.0,22.0,7.0,Medium,1
63.0,77.0,9.0,5.0,Medium,0
64.0,71.0,22.0,7.0,Medium,0
64.0,68.0,18.0,7.0,Medium,0
67.0,86.0,16.0,8.0,Medium,0
67.0,77.0,24.0,8.0,Low,0
66.0,67.0,26.0,7.0,High,0
72.0,88.0,26.0,5.0,High,1
65.0,83.0,15.0,5.0,High,0
71.0,94.0,18.0,6.0,Medium,1
66.0,65.0,22.0,8.0,Low,0
68.0,91.0,26.0,8.0,Low,1
70.0,87.0,17.0,7.0,Medium,1
62.0,65.0,19.0,10.0,Medium,0
68.0,88.0,13.0,9.0,High,1
67.0,78.0,13.0,9.0,High,0
71.0,98.0,25.0,8.0,High,1
68.0,66.0,28.0,8.0,High,1
69.0,86.0,20.0,8.0,Medium,1
70.0,75.0,26.0,4.0,High,1
69.0,98.0,22.0,5.0,High,1
65.0,73.0,16.0,7.0,Medium,0
70.0,98.0,22.0,7.0,Low,1
71.0,96.0,29.0,7.0,Low,1
65.0,71.0,20.0,7.0,Medium,0
72.0,92.0,29.0,4.0,Medium,1
69.0,100.0,4.0,8.0,High,1
66.0,70.0,25.0,7.0,Medium,0
65.0,81.0,18.0,8.0,Low,0
64.0,72.0,21.0,5.0,Medium,0
60.0,61.0,7.999999999999998,7.0,Medium,0
65.0,69.0,19.0,7.0,High,0
66.0,71.0,22.0,6.0,Medium,0
62.0,67.0,17.0,5.0,Medium,0
70.0,95.0,15.0,7.0,Medium,1
69.0,88.0,17.0,7.0,High,1
67.0,63.0,25.0,7.0,High,0
64.0,86.0,22.0,6.0,Low,0
71.0,86.0,17.0,5.0,High,1
68.0,98.0,23.0,7.0,Low,1
64.0,60.0,21.0,7.0,Medium,0
63.0,70.0,26.0,8.0,Low,0
71.0,97.0,16.0,6.0,Medium,1
69.0,97.0,18.0,4.0,Medium,1
68.0,91.0,11.0,6.0,Medium,1
62.0,64.0,22.0,7.0,Medium,0
68.0,81.0,22.0,7.0,Medium,1
66.0,69.0,20.0,6.0,High,0
64.0,67.0,19.0,5.0,Medium,0
67.0,92.0,12.0,4.0,Medium,1
65.0,65.0,17.0,8.0,High,0
65.0,79.0,18.0,7.0,Medium,0
69.0,98.0,15.0,6.0,Medium,1
63.0,67.0,19.0,5.0,Medium,0
72.0,99.0,22.0,6.0,Low,1
69.0,82.0,21.0,7.0,High,1
67.0,67.0,22.0,7.0,Medium,0
69.0,73.0,20.0,9.0,Medium,0
63.0,77.0,7.999999999999998,6.0,Medium,0
67.0,72.0,20.0,9.0,Medium,0
66.0,71.0,20.0,7.0,High,0
64.0,66.0,19.0,8.0,Medium,0
73.0,89.0,22.0,6.0,High,1
63.0,60.0,20.0,7.0,High,0
65.0,84.0,13.0,5.0,Medium,0
73.0,97.0,27.0,8.0,High,1
70.0,72.0,25.0,8.0,High,1
68.0,67.0,25.0,9.0,Medium,0
65.0,86.0,15.0,7.0,Medium,0
71.0,89.0,28.0,9.0,High,1
64.0,88.0,12.0,6.0,Medium,0
69.0,70.0,33.0,6.0,Medium,1
69.0,98.0,14.0,7.0,Medium,1
67.0,78.0,21.0,10.0,Medium,0
64.0,78.0,11.0,8.0,High,0
66.0,77.0,20.0,6.0,Medium,0
63.0,66.0,14.0,7.0,Low,0
66.0,77.0,23.0,7.0,Medium,0
66.0,81.0,14.0,9.0,Medium,0
67.0,61.0,29.0,7.0,High,0
65.0,78.0,15.0,9.0,High,0
68.0,91.0,18.0,5.0,Medium,1
68.0,87.0,25.0,9.0,Low,1
65.0,85.0,13.0,6.0,Medium,0
71.0,96.0,21.0,8.0,Medium,1
65.0,61.0,28.0,6.0,High,0
64.0,82.0,10.0,8.0,Low,0
72.0,91.0,21.0,6.0,Medium,1
65.0,82.0,22.0,9.0,Medium,0
66.0,73.0,25.0,8.0,High,0
61.0,65.0,13.0,6.0,High,0
68.0,96.0,12.0,8.0,High,1
69.0,79.0,23.0,8.0,High,1
72.0,95.0,22.0,6.0,High,1
71.0,83.0,22.0,5.0,High,1
70.0,87.0,22.0,5.0,High,1
68.0,92.0,16.0,5.0,High,1
67.0,86.0,21.0,5.0,Medium,1
68.0,76.0,22.0,8.0,Medium,1
68.0,81.0,16.0,8.0,Medium,0
72.0,92.0,31.0,4.0,Medium,1
65.0,75.0,23.0,6.0,High,0
66.0,76.0,13.0,5.0,High,0
65.0,64.0,24.0,8.0,Medium,0
67.0,97.0,14.0,6.0,Medium,1
66.0,64.0,25.0,5.0,High,0
69.0,86.0,27.0,7.0,Medium,1
66.0,77.0,15.0,8.0,Medium,0
67.0,87.0,22.0,7.0,Low,1
66.0,63.0,25.0,6.0,Medium,0
71.0,84.0,31.0,9.0,Medium,1
71.0,93.0,15.0,6.0,Medium,1
66.0,67.0,15.0,7.0,Medium,0
67.0,96.0,15.0,7.0,Medium,1
66.0,86.0,20.0,8.0,Low,0
72.0,95.0,22.0,9.0,High,1
68.0,79.0,22.0,9.0,Medium,1
69.0,82.0,25.0,6.0,Medium,1
71.0,97.0,20.0,7.0,Medium,1
70.0,96.0,29.0,9.0,Medium,1
67.0,78.0,18.0,9.0,Medium,0
69.0,71.0,36.0,6.0,Medium,1
65.0,76.0,24.0,8.0,High,0
65.0,76.0,15.0,8.0,High,0
64.0,71.0,14.0,8.0,Medium,0
63.0,71.0,23.0,9.0,Low,0
69.0,94.0,19.0,5.0,Medium,1
64.0,63.0,24.0,6.0,Low,0
72.0,87.0,23.0,8.0,High,1
63.0,67.0,20.0,7.0,Medium,0
64.0,74.0,15.0,4.0,High,0
64.0,62.0,11.0,5.0,High,0
71.0,91.0,25.0,8.0,Medium,1
70.0,95.0,21.0,5.0,Medium,1
61.0,69.0,13.0,9.0,Low,0
67.0,79.0,21.0,7.0,High,1
66.0,95.0,15.0,6.0,Low,1
70.0,91.0,21.0,5.0,High,1
67.0,81.0,20.0,6.0,Medium,1
67.0,87.0,13.0,4.0,Low,0
71.0,94.0,22.0,7.0,Medium,1
66.0,60.0,23.0,8.0,Medium,0
68.0,76.0,26.0,5.0,Medium,1
74.0,96.0,26.0,7.0,Medium,1
64.0,90.0,12.0,6.0,Low,0
65.0,82.0,14.0,8.0,Medium,0
66.0,81.0,23.0,4.0,Medium,1
66.0,74.0,23.0,8.0,High,0
68.0,81.0,23.0,4.0,Low,1
67.0,77.0,23.0,6.0,High,1
74.0,89.0,27.0,6.0,High,1
74.0,94.0,26.0,5.0,High,1
62.0,66.0,24.0,9.0,Low,0
66.0,78.0,18.0,5.0,Medium,0
69.0,76.0,25.0,5.0,Medium,1
68.0,87.0,15.0,10.0,High,1
66.0,86.0,17.0,5.0,Low,0
68.0,95.0,20.0,7.0,Medium,1
69.0,77.0,34.0,7.0,Low,1
67.0,96.0,9.0,4.0,Medium,1
75.0,100.0,24.0,6.0,High,1
60.0,64.0,10.0,7.0,High,0
66.0,69.0,17.0,9.0,Medium,0
73.0,98.0,27.0,7.0,High,1
68.0,98.0,20.0,7.0,Low,1
62.0,64.0,14.0,6.0,Medium,0
62.0,61.0,16.0,9.0,Medium,0
65.0,66.0,24.0,8.0,Low,0
69.0,100.0,16.0,8.0,Low,1
64.0,67.0,21.0,7.0,Medium,0
67.0,80.0,20.0,5.0,High,1
70.0,94.0,16.0,9.0,High,1
70.0,61.0,33.0,7.0,Medium,1
69.0,84.0,24.0,7.0,Low,1
61.0,71.0,7.999999999999998,8.0,Low,0
69.0,94.0,21.0,7.0,Medium,1
63.0,71.0,16.0,5.0,Medium,0
67.0,87.0,25.0,7.0,Low,1
66.0,69.0,19.0,7.0,Medium,0
68.0,76.0,25.0,4.0,High,1
65.0,72.0,13.0,7.0,High,0
67.0,92.0,18.0,8.0,Medium,1
68.0,92.0,17.0,8.0,Low,1
64.0,78.0,16.0,6.0,High,0
71.0,84.0,31.0,5.0,Medium,1
69.0,84.0,22.0,6.0,Medium,1
67.0,93.0,12.0,9.0,Medium,1
65.0,77.0,26.0,4.0,Medium,0
68.0,71.0,33.0,5.0,Medium,1
67.0,71.0,26.0,6.0,Medium,0
67.0,81.0,11.0,6.0,Medium,0
66.0,78.0,17.0,7.0,High,0
70.0,78.0,28.0,9.0,Medium,1
65.0,64.0,16.0,5.0,Low,0
65.0,69.0,25.0,7.0,Medium,0
63.0,68.0,14.0,6.0,Medium,0
67.0,77.0,20.0,5.0,Medium,0
65.0,83.0,14.0,6.0,Low,0
66.0,75.0,18.0,8.0,High,0
66.0,78.0,13.0,8.0,High,0
69.0,81.0,30.0,5.0,Low,1
63.0,68.0,11.0,6.0,Medium,0
65.0,66.0,17.0,6.0,High,0
67.0,95.0,21.0,10.0,Low,1
69.0,77.0,29.0,7.0,High,1
65.0,61.0,27.0,6.0,Medium,0
65.0,80.0,20.0,6.0,Low,0
67.0,82.0,14.0,8.0,High,0
66.0,67.0,16.0,7.0,High,0
65.0,70.0,20.0,7.0,Medium,0
69.0,92.0,18.0,7.0,Medium,1
68.0,98.0,21.0,4.0,Low,1
64.0,65.0,24.0,7.0,Low,0
69.0,80.0,30.0,6.0,High,1
59.0,69.0,13.0,5.0,Low,0
68.0,62.0,33.0,10.0,Medium,0
60.0,73.0,7.999999999999998,7.0,Medium,0
62.0,66.0,19.0,7.0,High,0
67.0,88.0,24.0,6.0,Medium,1
64.0,66.0,16.0,5.0,High,0
65.0,60.0,19.0,7.0,High,0
65.0,92.0,17.0,6.0,Low,0
63.0,67.0,16.0,8.0,Medium,0
70.0,84.0,25.0,6.0,Low,1
66.0,73.0,22.0,9.0,Medium,0
66.0,73.0,25.0,8.0,Low,0
63.0,63.0,22.0,8.0,Low,0
66.0,69.0,25.0,9.0,Medium,0
65.0,68.0,24.0,6.0,Medium,0
66.0,77.0,15.0,8.0,Medium,0
67.0,86.0,17.0,4.0,Low,1
66.0,71.0,24.0,7.0,Medium,0
66.0,81.0,20.0,5.0,Medium,0
67.0,84.0,21.0,6.0,Medium,1
71.0,99.0,28.0,6.0,Medium,1
67.0,84.0,16.0,7.0,High,1
69.0,79.0,23.0,6.0,High,1
67.0,83.0,19.0,7.0,Medium,1
